Song,Artist,Country,Year,Language,Grand Final Place,Grand Final Points,Semifinal,Semifinal Place,Semifinal Points
Le retour,Jean Philippe,Switzerland,1962,French,10.0,2.0,,,
Ring-A-Ding Girl,Ronnie Carroll,United Kingdom,1962,English,4.0,10.0,,,
Ne pali svetla u sumrak (Не пали светла у сумрак),Lola Novaković,Yugoslavia,1962,Serbo-Croatian,4.0,10.0,,,
Vielleicht geschieht ein Wunder,Carmela Corren,Austria,1963,German,7.0,16.0,,,
Vielleicht geschieht ein Wunder,Carmela Corren,Austria,1963,English,7.0,16.0,,,
Waarom?,Jacques Raymond,Belgium,1963,Dutch,10.0,4.0,,,
Dansevise,Grethe & Jørgen Ingmann,Denmark,1963,Danish,1.0,42.0,,,
Muistojeni laulu,Laila Halme,Finland,1963,Finnish,13.0,0.0,,,
Elle était si jolie,Alain Barrière,France,1963,French,5.0,25.0,,,
Marcel,Heidi Brühl,Germany,1963,German,9.0,5.0,,,
Uno per tutte,Emilio Pericoli,Italy,1963,Italian,3.0,37.0,,,
À force de prier,Nana Mouskouri,Luxembourg,1963,French,8.0,13.0,,,
L'amour s'en va,Françoise Hardy,Monaco,1963,French,5.0,25.0,,,
Een speeldoos,Annie Palmen,Netherlands,1963,Dutch,13.0,0.0,,,
Solhverv,Anita Thallaug,Norway,1963,Norwegian,13.0,0.0,,,
Algo prodigioso,José Guardiola,Spain,1963,Spanish,12.0,2.0,,,
En gång i Stockholm,Monica Zetterlund,Sweden,1963,Swedish,13.0,0.0,,,
T'en va pas,Esther Ofarim,Switzerland,1963,French,2.0,40.0,,,
Say Wonderful Things,Ronnie Carroll,United Kingdom,1963,English,4.0,28.0,,,
Brodovi,Vice Vukov,Yugoslavia,1963,Serbo-Croatian,11.0,3.0,,,
"Warum nur, warum?",Udo Jürgens,Austria,1964,German,6.0,11.0,,,
Près de ma rivière,Robert Cogoi,Belgium,1964,French,10.0,2.0,,,
Sangen om dig,Bjørn Tidmand,Denmark,1964,Danish,9.0,4.0,,,
Laiskotellen,Lasse Mårtenson,Finland,1964,Finnish,7.0,9.0,,,
Le chant de Mallory,Rachel,France,1964,French,4.0,14.0,,,
Man gewöhnt sich so schnell an das Schöne,Nora Nova,Germany,1964,German,13.0,0.0,,,
Non ho l'età,Gigliola Cinquetti,Italy,1964,Italian,1.0,49.0,,,
Dès que le printemps revient,Hugues Aufray,Luxembourg,1964,French,4.0,14.0,,,
Où sont-elles passées,Romuald,Monaco,1964,French,3.0,15.0,,,
Jij bent mijn leven,Anneke Grönloh,Netherlands,1964,Dutch,10.0,2.0,,,
Spiral,Arne Bendiksen,Norway,1964,Norwegian,8.0,6.0,,,
Oração,António Calvário,Portugal,1964,Portuguese,13.0,0.0,,,
Caracola,Los TNT,Spain,1964,Spanish,12.0,1.0,,,
I miei pensieri,Anita Traversi,Switzerland,1964,Italian,13.0,0.0,,,
I Love the Little Things,Matt Monro,United Kingdom,1964,English,2.0,17.0,,,
Život je sklopio krug,Sabahudin Kurt,Yugoslavia,1964,Serbo-Croatian,13.0,0.0,,,
"Sag ihr, ich lass sie grüßen",Udo Jürgens,Austria,1965,German,4.0,16.0,,,
Als het weer lente is,Lize Marke,Belgium,1965,Dutch,15.0,0.0,,,
For din skyld,Birgit Brüel,Denmark,1965,Danish,7.0,10.0,,,
Aurinko laskee länteen,Viktor Klimenko,Finland,1965,Finnish,15.0,0.0,,,
N'avoue jamais,Guy Mardel,France,1965,French,3.0,22.0,,,
"Paradies, wo bist du?",Ulla Wiesner,Germany,1965,German,15.0,0.0,,,
Walking the Streets in the Rain,Butch Moore,Ireland,1965,English,6.0,11.0,,,
"Se piangi, se ridi",Bobby Solo,Italy,1965,Italian,5.0,15.0,,,
"Poupée de cire, poupée de son",France Gall,Luxembourg,1965,French,1.0,32.0,,,
Va dire à l'amour,Marjorie Noël,Monaco,1965,French,9.0,7.0,,,
Het is genoeg,Conny van den Bos,Netherlands,1965,Dutch,11.0,5.0,,,
Karusell,Kirsti Sparboe,Norway,1965,Norwegian,13.0,1.0,,,
Sol de inverno,Simone de Oliveira,Portugal,1965,Portuguese,13.0,1.0,,,
"¡Qué bueno, qué bueno!",Conchita Bautista,Spain,1965,Spanish,15.0,0.0,,,
Absent Friend,Ingvar Wixell,Sweden,1965,English,10.0,6.0,,,
"Non, à jamais sans toi",Yovanna,Switzerland,1965,French,8.0,8.0,,,
I Belong,Kathy Kirby,United Kingdom,1965,English,2.0,26.0,,,
Čežnja,Vice Vukov,Yugoslavia,1965,Serbo-Croatian,12.0,2.0,,,
"Merci, Chérie",Udo Jürgens,Austria,1966,German,1.0,31.0,,,
"Un peu de poivre, un peu de sel",Tonia,Belgium,1966,French,4.0,14.0,,,
Stop – mens legen er go',Ulla Pia,Denmark,1966,Danish,14.0,4.0,,,
Playboy,Ann Christine,Finland,1966,Finnish,10.0,7.0,,,
Chez nous,Dominique Walter,France,1966,French,16.0,1.0,,,
Die Zeiger der Uhr,Margot Eskens,Germany,1966,German,10.0,7.0,,,
Come Back to Stay,Dickie Rock,Ireland,1966,English,4.0,14.0,,,
"Dio, come ti amo",Domenico Modugno,Italy,1966,Italian,17.0,0.0,,,
Ce soir je t'attendais,Michèle Torr,Luxembourg,1966,French,10.0,7.0,,,
Bien plus fort,Téréza,Monaco,1966,French,17.0,0.0,,,
Fernando en Filippo,Milly Scott,Netherlands,1966,Dutch,15.0,2.0,,,
Intet er nytt under solen,Åse Kleveland,Norway,1966,Norwegian,3.0,15.0,,,
Ele e ela,Madalena Iglésias,Portugal,1966,Portuguese,13.0,6.0,,,
Yo soy aquél,Raphael,Spain,1966,Spanish,7.0,9.0,,,
Nygammal vals,Lill Lindfors & Svante Thuresson,Sweden,1966,Swedish,2.0,16.0,,,
Ne vois-tu pas?,Madeleine Pascal,Switzerland,1966,French,6.0,12.0,,,
A Man Without Love,Kenneth McKellar,United Kingdom,1966,English,9.0,8.0,,,
Brez besed,Berta Ambrož,Yugoslavia,1966,Slovene,7.0,9.0,,,
Warum es hunderttausend Sterne gibt,Peter Horton,Austria,1967,German,14.0,2.0,,,
Ik heb zorgen,Louis Neefs,Belgium,1967,Dutch,7.0,8.0,,,
Varjoon – suojaan,Fredi,Finland,1967,Finnish,12.0,3.0,,,
Il doit faire beau là-bas,Noëlle Cordier,France,1967,French,3.0,20.0,,,
Anouschka,Inge Brück,Germany,1967,German,8.0,7.0,,,
If I Could Choose,Sean Dunphy,Ireland,1967,English,2.0,22.0,,,
Non andare più lontano,Claudio Villa,Italy,1967,Italian,11.0,4.0,,,
L'amour est bleu,Vicky Leandros,Luxembourg,1967,French,4.0,17.0,,,
Boum-Badaboum,Minouche Barelli,Monaco,1967,French,5.0,10.0,,,
Ring-dinge-ding,Thérèse Steinmetz,Netherlands,1967,Dutch,14.0,2.0,,,
Dukkemann,Kirsti Sparboe,Norway,1967,Norwegian,14.0,2.0,,,
O vento mudou,Eduardo Nascimento,Portugal,1967,Portuguese,12.0,3.0,,,
Hablemos del amor,Raphael,Spain,1967,Spanish,6.0,9.0,,,
Som en dröm,Östen Warnerbring,Sweden,1967,Swedish,8.0,7.0,,,
Quel cœur vas-tu briser?,Géraldine,Switzerland,1967,French,17.0,0.0,,,
Puppet on a String,Sandie Shaw,United Kingdom,1967,English,1.0,47.0,,,
Vse rože sveta,Lado Leskovar,Yugoslavia,1967,Slovene,8.0,7.0,,,
Tausend Fenster,Karel Gott,Austria,1968,German,13.0,2.0,,,
Quand tu reviendras,Claude Lombard,Belgium,1968,French,7.0,8.0,,,
Kun kello käy,Kristina Hautala,Finland,1968,Finnish,16.0,1.0,,,
La source,Isabelle Aubret,France,1968,French,3.0,20.0,,,
Ein Hoch der Liebe,Wenche Myhre,Germany,1968,German,6.0,11.0,,,
Chance of a Lifetime,Pat McGuigan,Ireland,1968,English,4.0,18.0,,,
Marianne,Sergio Endrigo,Italy,1968,Italian,10.0,7.0,,,
Nous vivrons d'amour,Chris Baldo & Sophie Garel,Luxembourg,1968,French,11.0,5.0,,,
À chacun sa chanson,Line & Willy,Monaco,1968,French,7.0,8.0,,,
Morgen,Ronnie Tober,Netherlands,1968,Dutch,16.0,1.0,,,
Stress,Odd Børre,Norway,1968,Norwegian,13.0,2.0,,,
Verão,Carlos Mendes,Portugal,1968,Portuguese,11.0,5.0,,,
"La, la, la",Massiel,Spain,1968,Spanish,1.0,29.0,,,
"Det börjar verka kärlek, banne mej",Claes-Göran Hederström,Sweden,1968,Swedish,5.0,15.0,,,
Guardando il sole,Gianni Mascolo,Switzerland,1968,Italian,13.0,2.0,,,
Congratulations,Cliff Richard,United Kingdom,1968,English,2.0,28.0,,,
Jedan dan,Dubrovački trubaduri,Yugoslavia,1968,Serbo-Croatian,7.0,8.0,,,
Jennifer Jennings,Louis Neefs,Belgium,1969,Dutch,7.0,10.0,,,
Kuin silloin ennen,Jarkko & Laura,Finland,1969,Finnish,12.0,6.0,,,
"Un jour, un enfant",Frida Boccara,France,1969,French,1.0,18.0,,,
Primaballerina,Siw Malmkvist,Germany,1969,German,9.0,8.0,,,
The Wages of Love,Muriel Day & The Lindsays,Ireland,1969,English,7.0,10.0,,,
Due grosse lacrime bianche,Iva Zanicchi,Italy,1969,Italian,13.0,5.0,,,
Catherine,Romuald,Luxembourg,1969,French,11.0,7.0,,,
"Maman, Maman",Jean Jacques,Monaco,1969,French,6.0,11.0,,,
De troubadour,Lenny Kuhr,Netherlands,1969,Dutch,1.0,18.0,,,
"Oj, oj, oj, så glad jeg skal bli",Kirsti Sparboe,Norway,1969,Norwegian,16.0,1.0,,,
Desfolhada portuguesa,Simone de Oliveira,Portugal,1969,Portuguese,15.0,4.0,,,
Vivo cantando,Salomé,Spain,1969,Spanish,1.0,18.0,,,
"Judy, min vän",Tommy Körberg,Sweden,1969,Swedish,9.0,8.0,,,
"Bonjour, Bonjour",Paola Del Medico,Switzerland,1969,German,5.0,13.0,,,
Boom Bang-a-Bang,Lulu,United Kingdom,1969,English,1.0,18.0,,,
Pozdrav svijetu,Ivan & 4M,Yugoslavia,1969,Serbo-Croatian,13.0,5.0,,,
Viens l'oublier,Jean Vallée,Belgium,1970,French,8.0,5.0,,,
Marie-Blanche,Guy Bonnet,France,1970,French,4.0,8.0,,,
Wunder gibt es immer wieder,Katja Ebstein,Germany,1970,German,3.0,12.0,,,
All Kinds of Everything,Dana,Ireland,1970,English,1.0,32.0,,,
Occhi di ragazza,Gianni Morandi,Italy,1970,Italian,8.0,5.0,,,
Je suis tombé du ciel,David Alexandre Winter,Luxembourg,1970,French,12.0,0.0,,,
Marlène,Dominique Dussault,Monaco,1970,French,8.0,5.0,,,
Waterman,Hearts of Soul,Netherlands,1970,Dutch,7.0,7.0,,,
Gwendolyne,Julio Iglesias,Spain,1970,Spanish,4.0,8.0,,,
Retour,Henri Dès,Switzerland,1970,French,4.0,8.0,,,
"Knock, Knock Who's There?",Mary Hopkin,United Kingdom,1970,English,2.0,26.0,,,
"Pridi, dala ti bom cvet",Eva Sršen,Yugoslavia,1970,Slovene,11.0,4.0,,,
Musik,Marianne Mendt,Austria,1971,Viennese,16.0,66.0,,,
"Goeiemorgen, morgen",Lily Castel & Jacques Raymond,Belgium,1971,Dutch,14.0,68.0,,,
Tie uuteen päivään,Markku Aro & Koivistolaiset,Finland,1971,Finnish,8.0,84.0,,,
Un jardin sur la terre,Serge Lama,France,1971,French,10.0,82.0,,,
Diese Welt,Katja Ebstein,Germany,1971,German,3.0,100.0,,,
One Day Love,Angela Farrell,Ireland,1971,English,11.0,79.0,,,
L'amore è un attimo,Massimo Ranieri,Italy,1971,Italian,5.0,91.0,,,
"Pomme, pomme, pomme",Monique Melsen,Luxembourg,1971,French,13.0,70.0,,,
Marija l-Maltija,Joe Grech,Malta,1971,Maltese,18.0,52.0,,,
"Un banc, un arbre, une rue",Séverine,Monaco,1971,French,1.0,128.0,,,
Tijd,Saskia & Serge,Netherlands,1971,Dutch,6.0,85.0,,,
Lykken er,Hanne Krogh,Norway,1971,Norwegian,17.0,65.0,,,
Menina do alto da serra,Tonicha,Portugal,1971,Portuguese,9.0,83.0,,,
En un mundo nuevo,Karina,Spain,1971,Spanish,2.0,116.0,,,
Vita vidder,Family Four,Sweden,1971,Swedish,6.0,85.0,,,
Les illusions de nos vingt ans,"Peter, Sue and Marc",Switzerland,1971,French,12.0,78.0,,,
Jack In The Box,Clodagh Rodgers,United Kingdom,1971,English,4.0,98.0,,,
Tvoj dječak je tužan,Krunoslav Slabinac,Yugoslavia,1971,Serbo-Croatian,14.0,68.0,,,
Falter im Wind,Milestones,Austria,1972,German,5.0,100.0,,,
À la folie ou pas du tout,Serge & Christine Ghisoland,Belgium,1972,French,17.0,55.0,,,
Muistathan,Päivi Paunu & Kim Floor,Finland,1972,Finnish,12.0,78.0,,,
Comé-comédie,Betty Mars,France,1972,French,11.0,81.0,,,
Nur die Liebe läßt uns leben,Mary Roos,Germany,1972,German,3.0,107.0,,,
Ceol an Ghrá,Sandie Jones,Ireland,1972,Irish,15.0,72.0,,,
I giorni dell'arcobaleno,Nicola di Bari,Italy,1972,Italian,6.0,92.0,,,
Après toi,Vicky Leandros,Luxembourg,1972,French,1.0,128.0,,,
L-imħabba,Helen and Joseph,Malta,1972,Maltese,18.0,48.0,,,
Comme on s'aime,Anne-Marie Godart & Peter MacLane,Monaco,1972,French,16.0,65.0,,,
Als het om de liefde gaat,Sandra & Andres,Netherlands,1972,Dutch,4.0,106.0,,,
Småting,Grethe Kausland & Benny Borg,Norway,1972,Norwegian,14.0,73.0,,,
A festa da vida,Carlos Mendes,Portugal,1972,Portuguese,7.0,90.0,,,
Amanece,Jaime Morey,Spain,1972,Spanish,10.0,83.0,,,
Härliga sommardag,Family Four,Sweden,1972,Swedish,13.0,75.0,,,
C'est la chanson de mon amour,Véronique Müller,Switzerland,1972,French,8.0,88.0,,,
"Beg, Steal or Borrow",The New Seekers,United Kingdom,1972,English,2.0,114.0,,,
Muzika i ti,Tereza Kesovija,Yugoslavia,1972,Serbo-Croatian,9.0,87.0,,,
"Baby, Baby",Nicole & Hugo,Belgium,1973,Dutch,17.0,58.0,,,
Tom Tom Tom,Marion Rung,Finland,1973,English,6.0,93.0,,,
Sans toi,Martine Clémenceau,France,1973,French,15.0,65.0,,,
Junger Tag,Gitte,Germany,1973,German,8.0,85.0,,,
Do I Dream,Maxi,Ireland,1973,English,10.0,80.0,,,
Ey Sham (אי שם),Ilanit,Israel,1973,Hebrew,4.0,97.0,,,
Chi sarà con te,Massimo Ranieri,Italy,1973,Italian,13.0,74.0,,,
Tu te reconnaîtras,Anne-Marie David,Luxembourg,1973,French,1.0,129.0,,,
Un train qui part,Marie,Monaco,1973,French,8.0,85.0,,,
De oude muzikant,Ben Cramer,Netherlands,1973,Dutch,14.0,69.0,,,
It's Just A Game,Bendik Singers,Norway,1973,English,7.0,89.0,,,
It's Just A Game,Bendik Singers,Norway,1973,French,7.0,89.0,,,
Tourada,Fernando Tordo,Portugal,1973,Portuguese,10.0,80.0,,,
Eres tú,Mocedades,Spain,1973,Spanish,2.0,125.0,,,
You're Summer,The Novas & The Dolls,Sweden,1973,English,5.0,94.0,,,
"Je vais me marier, Marie",Patrick Juvet,Switzerland,1973,French,12.0,79.0,,,
Power to All Our Friends,Cliff Richard,United Kingdom,1973,English,3.0,123.0,,,
Gori vatra,Zdravko Čolić,Yugoslavia,1973,Serbo-Croatian,15.0,65.0,,,
Fleur de liberté,Jacques Hustin,Belgium,1974,French,9.0,10.0,,,
Keep Me Warm,Carita,Finland,1974,English,13.0,4.0,,,
Die Sommermelodie,Cindy & Bert,Germany,1974,German,14.0,3.0,,,
"Krasi, thalassa ke t' agori mou (Κρασί, θάλασσα και τ' αγόρι μου)",Marinella,Greece,1974,Greek,11.0,7.0,,,
Cross Your Heart,Tina Reynolds,Ireland,1974,English,7.0,11.0,,,
Natati La Khayay (נתתי לה חיי),Kaveret,Israel,1974,Hebrew,7.0,11.0,,,
Sì,Gigliola Cinquetti,Italy,1974,Italian,2.0,18.0,,,
Bye Bye I Love You,Ireen Sheer,Luxembourg,1974,French,4.0,14.0,,,
Celui qui reste et celui qui s'en va,Romuald,Monaco,1974,French,4.0,14.0,,,
I See a Star,Mouth & MacNeal,Netherlands,1974,English,3.0,15.0,,,
The First Day of Love,Anne-Karine Strøm feat. Bendik Singers,Norway,1974,English,14.0,3.0,,,
E depois do adeus,Paulo de Carvalho,Portugal,1974,Portuguese,14.0,3.0,,,
Canta y sé feliz,Peret,Spain,1974,Spanish,9.0,10.0,,,
Waterloo,ABBA,Sweden,1974,English,1.0,24.0,,,
Mein Ruf nach dir,Piera Martell,Switzerland,1974,German,14.0,3.0,,,
Long Live Love,Olivia Newton-John,United Kingdom,1974,English,4.0,14.0,,,
Generacija '42 (Генерација '42),Korni Grupa,Yugoslavia,1974,Serbo-Croatian,12.0,6.0,,,
Gelukkig zijn,Ann Christy,Belgium,1975,Dutch,15.0,17.0,,,
Gelukkig zijn,Ann Christy,Belgium,1975,English,15.0,17.0,,,
Old Man Fiddle,Pihasoittajat,Finland,1975,English,7.0,74.0,,,
Et bonjour à toi l'artiste,Nicole Rieu,France,1975,French,4.0,91.0,,,
Ein Lied kann eine Brücke sein,Joy Fleming,Germany,1975,German,17.0,15.0,,,
Ein Lied kann eine Brücke sein,Joy Fleming,Germany,1975,English,17.0,15.0,,,
That's What Friends Are For,The Swarbriggs,Ireland,1975,English,9.0,68.0,,,
At Va'Ani (את ואני),Shlomo Artzi,Israel,1975,Hebrew,11.0,40.0,,,
Era,Wess & Dori Ghezzi,Italy,1975,Italian,3.0,115.0,,,
Toi,Geraldine,Luxembourg,1975,French,5.0,84.0,,,
Singing This Song,Renato,Malta,1975,English,12.0,32.0,,,
Une chanson c'est une lettre,Sophie Hecquet,Monaco,1975,French,13.0,22.0,,,
Ding-a-dong,Teach-In,Netherlands,1975,English,1.0,152.0,,,
Touch My Life (With Summer),Ellen Nikolaysen,Norway,1975,English,18.0,11.0,,,
Madrugada,Duarte Mendes,Portugal,1975,Portuguese,16.0,16.0,,,
Tú volverás,Sergio & Estíbaliz,Spain,1975,Spanish,10.0,53.0,,,
"Jennie, Jennie",Lasse Berghagen,Sweden,1975,English,8.0,72.0,,,
Mikado,Simone Drexel,Switzerland,1975,German,6.0,77.0,,,
Seninle Bir Dakika,Semiha Yankı,Turkey,1975,Turkish,19.0,3.0,,,
Let Me Be The One,The Shadows,United Kingdom,1975,English,2.0,138.0,,,
Dan ljubezni,Pepel in kri,Yugoslavia,1975,Slovene,13.0,22.0,,,
My Little World,Waterloo & Robinson,Austria,1976,English,5.0,80.0,,,
Judy et Cie,Pierre Rapsat,Belgium,1976,French,8.0,68.0,,,
Pump-Pump,Fredi & Ystävät,Finland,1976,English,11.0,44.0,,,
"Un, deux, trois",Catherine Ferry,France,1976,French,2.0,147.0,,,
Sing Sang Song,Les Humphries Singers,Germany,1976,German,15.0,12.0,,,
"Panagia mou, Panagia mou (Παναγιά μου, Παναγιά μου)",Mariza Koch,Greece,1976,Greek,13.0,20.0,,,
When,Red Hurley,Ireland,1976,English,10.0,54.0,,,
Emor Shalom (אמור שלום),"Chocolate, Menta, Mastik",Israel,1976,Hebrew,6.0,77.0,,,
We'll Live It All Again,Al Bano & Romina Power,Italy,1976,English,7.0,69.0,,,
We'll Live It All Again,Al Bano & Romina Power,Italy,1976,Italian,7.0,69.0,,,
Chansons pour ceux qui s'aiment,Jürgen Marcus,Luxembourg,1976,French,14.0,17.0,,,
"Toi, la musique et moi",Mary Christy,Monaco,1976,French,3.0,93.0,,,
The Party's Over,Sandra Reemer,Netherlands,1976,English,9.0,56.0,,,
Mata Hari,Anne-Karine Strøm,Norway,1976,English,18.0,7.0,,,
Uma flor de verde pinho,Carlos do Carmo,Portugal,1976,Portuguese,12.0,24.0,,,
Sobran las palabras,Braulio,Spain,1976,Spanish,16.0,11.0,,,
"Djambo, Djambo","Peter, Sue and Marc",Switzerland,1976,English,4.0,91.0,,,
Save Your Kisses for Me,Brotherhood of Man,United Kingdom,1976,English,1.0,164.0,,,
Ne mogu skriti svoju bol,Ambasadori,Yugoslavia,1976,Serbo-Croatian,17.0,10.0,,,
Boom Boom Boomerang,Schmetterlinge,Austria,1977,German,17.0,11.0,,,
"A Million in One, Two, Three",Dream Express,Belgium,1977,English,7.0,69.0,,,
Lapponia,Monica Aspelund,Finland,1977,Finnish,10.0,50.0,,,
L'oiseau et l'enfant,Marie Myriam,France,1977,French,1.0,136.0,,,
Telegram,Silver Convention,Germany,1977,English,8.0,55.0,,,
Mathima solfez (Μάθημα σολφέζ),"Paschalis, Marianna, Robert & Bessy",Greece,1977,Greek,5.0,92.0,,,
It's Nice to Be in Love Again,The Swarbriggs Plus Two,Ireland,1977,English,3.0,119.0,,,
Ahava Hi Shir Lishnayim (אהבה היא שיר לשניים),Ilanit,Israel,1977,Hebrew,11.0,49.0,,,
Libera,Mia Martini,Italy,1977,Italian,13.0,33.0,,,
Frère Jacques,Anne-Marie B,Luxembourg,1977,French,16.0,17.0,,,
Une petite française,Michèle Torr,Monaco,1977,French,4.0,96.0,,,
De mallemolen,Heddy Lester,Netherlands,1977,Dutch,12.0,35.0,,,
Casanova,Anita Skorgan,Norway,1977,Norwegian,14.0,18.0,,,
Portugal no coração,Os Amigos,Portugal,1977,Portuguese,14.0,18.0,,,
Enséñame a cantar,Micky,Spain,1977,Spanish,9.0,52.0,,,
